nconst,primaryName,birthYear,deathYear,primaryProfession,knownForTitles
nm0000033,Alfred Hitchcock,1899,1980,"director,producer,writer","tt0054215,tt0052357,tt0053125,tt0034248"
nm0000036,Buster Keaton,1895,1966,"actor,writer,director","tt0017925,tt0015163,tt0015324,tt0016332"
nm0000064,Edward G. Robinson,1893,1973,"actor,writer,soundtrack","tt0040506,tt0036775,tt0038991,tt0038057"
nm0000122,Charles Chaplin,1889,1977,"writer,actor,director","tt0032553,tt0027977,tt0021749,tt0044837"
nm0000252,Robert Ellis,1892,1974,"actor,director,writer","tt0010781,tt0030778,tt0006213,tt0030738"
nm0000320,Luis Buñuel,1900,1983,"writer,director,actor","tt0068361,tt0061395,tt0075824,tt0056732"
nm0000370,Walt Disney,1901,1966,"producer,actor,miscellaneous","tt0029583,tt0048280,tt0046183,tt0032910"
nm0000406,John Ford,1894,1973,"director,producer,actor","tt0045061,tt0032551,tt0033729,tt0031971"
nm0000428,D.W. Griffith,1875,1948,"director,writer,producer","tt0004972,tt0006864,tt0010484,tt0009968"
nm0000485,Fritz Lang,1890,1976,"writer,director,producer","tt0057345,tt0022100,tt0017136,tt0027652"
nm0000581,Joseph L. Mankiewicz,1909,1993,"writer,producer,director","tt0042192,tt0041587,tt0056937,tt0069281"
nm0000590,Edgar Allan Poe,1809,1849,"writer,miscellaneous,soundtrack","tt1772264,tt8381734,tt0024894,tt1663656"
nm0000636,William Shakespeare,1564,1616,"writer,miscellaneous,music_department","tt10095582,tt20711868,tt8632012,tt14297038"
nm0000697,Billy Wilder,1906,2002,"writer,director,producer","tt0053604,tt0053291,tt0047437,tt0043014"
nm0000779,Roscoe 'Fatty' Arbuckle,1887,1933,"actor,director,writer","tt0007761,tt0012382,tt0007819,tt0009123"
nm0000813,Tex Avery,1908,1980,"director,writer,actor","tt0027779,tt0040960,tt0033260,tt0032243"
nm0000847,Theda Bara,1885,1955,"actress,writer,archive_footage","tt0005339,tt0007769,tt0005100,tt0009792"
nm0000858,John Barrymore,1882,1942,"actor,writer,soundtrack","tt0025919,tt0022958,tt0022454,tt0032637"
nm0000859,Lionel Barrymore,1878,1954,"actor,director,writer","tt0030993,tt0040506,tt0038650,tt0022958"
nm0000875,L. Frank Baum,1856,1919,"writer,producer,miscellaneous","tt0032138,tt0000679,tt0089908,tt0004207"
nm0000923,Busby Berkeley,1895,1976,"miscellaneous,director,music_department","tt0026421,tt0024028,tt0027686,tt0029725"
nm0000927,Irving Berlin,1888,1989,"music_department,composer,writer","tt0029852,tt0038370,tt0036430,tt0034862"
nm0001008,Frank Capra,1897,1991,"director,writer,producer","tt0038650,tt0025316,tt0030993,tt0031679"
nm0001076,Joan Crawford,1907,1977,"actress,writer,producer","tt0037913,tt0056687,tt0023369,tt0038622"
nm0001124,Cecil B. DeMille,1881,1959,"producer,director,editor","tt0049833,tt0044672,tt0043014,tt0041838"
nm0001178,Sergei Eisenstein,1898,1948,"director,writer,editor","tt0037824,tt0029850,tt0015648,tt0079020"
nm0001195,Douglas Fairbanks Jr.,1909,2000,"actor,producer,production_manager","tt0032558,tt0023642,tt0039826,tt0029442"
nm0001196,Douglas Fairbanks,1883,1939,"actor,writer,producer","tt0015400,tt0013556,tt0023243,tt0021287"
nm0001203,William Faulkner,1897,1962,"writer,archive_footage","tt0037382,tt0038355,tt0051055,tt5208974"
nm0001211,W.C. Fields,1880,1946,"actor,writer,director","tt0025318,tt0025590,tt0033945,tt0032234"
nm0001273,Lillian Gish,1893,1993,"actress,writer,director","tt0048424,tt0019585,tt0014605,tt0094315"
nm0001316,Oliver Hardy,1892,1957,"actor,miscellaneous,director","tt0029923,tt0024852,tt0033022,tt0024601"
nm0001328,Howard Hawks,1896,1977,"director,producer,writer","tt0053221,tt0040724,tt0061619,tt0037382"
nm0001379,John Huston,1906,1987,"actor,director,writer","tt0040897,tt0071315,tt0042208,tt0089841"
nm0001843,James Whale,1889,1957,"director,producer,miscellaneous","tt0026138,tt0024184,tt0021884,tt0028249"
nm0001890,Hugh Herbert,1884,1952,"actor,writer,director","tt0033397,tt0020953,tt0029541,tt0035427"
nm0001908,Gilbert M. 'Broncho Billy' Anderson,1880,1971,"director,actor,producer","tt0001706,tt0183803,tt0176832,tt0003719"
nm0002005,Agatha Christie,1890,1976,"writer,archive_footage,archive_sound","tt1349600,tt0051201,tt0071877,tt3402236"
nm0002021,Noël Coward,1899,1973,"writer,actor,music_department","tt0034891,tt0064505,tt0037558,tt0048960"
