nconst	primaryName	birthYear	deathYear
nm1219736	Craig Kyle	1971	-1
nm17351830	Ali Basoka	-1	-1
nm0468957	Linda Kozlowski	1958	-1
nm10710511	BeBe Bettencourt	1996	-1
nm0871393	Greg Travis	1958	-1
nm0094067	Klaus Bondam	1963	-1
nm2102049	Anto Joseph	-1	-1
nm0557733	Christopher Masterson	1980	-1
nm0948133	K. Dock Yip	-1	-1
nm1518261	Brandon Wilson	-1	-1
nm0580884	Keith Meriweather	-1	-1
nm0746022	Nathalie Roussel	1956	-1
nm0338004	Johnny Green	1908	1989
nm0530365	Sergi López	1965	-1
nm1356311	Marsha Regis	-1	-1
nm0004799	Mark Canton	1949	-1
nm0369592	Michael Hausman	1935	-1
nm1186883	James Huang	-1	-1
nm0741814	Josep Rosell	1950	-1
nm17274331	Simran Mangeshkar	-1	-1
nm0560103	Mandy Matthews	-1	-1
nm0104935	Janet Brandt	1914	2004
nm0083688	Michael Birnbaum	-1	-1
nm8933067	Imani Lewis	1999	-1
nm0378219	Jon Henson	-1	-1
nm3790547	Reese Mishler	-1	-1
nm0307257	Brian Garfield	1939	2018
nm2255484	Rashmi Sharma	-1	-1
nm1003061	Yoshiko Noda	1970	-1
nm7792072	Jessica Dinnage	1993	-1
nm6861701	Rod Barr	-1	-1
nm0248681	Sylvia Eckhausen	1889	1967
nm6458031	Lawrence Osborne	-1	-1
nm8463983	Marchánt Davis	-1	-1
nm0172560	Monte Collins	1856	1929
nm7094697	Katie Cooper	-1	-1
nm2267281	Stephen Ellis	-1	-1
nm0080289	Deepa Bhatia	-1	-1
nm0001081	Cameron Crowe	1957	-1
nm0927468	Robert Wiene	1873	1938
nm0512231	Howard Lindsay	1889	1968
nm0684226	José Pinheiro	1945	-1
nm12247747	Jay Brown	-1	-1
nm0277139	Roman Filippov	1936	1992
nm0842487	Tanya M. Swerling	-1	-1
nm0950935	Rick Yune	1971	-1
nm0155212	Edmund Chen	1961	-1
nm0151519	Bansi Chandragupta	1924	1981
nm0500329	Warren Leight	1957	-1
nm0434806	Cédric Kahn	1966	-1
nm0383379	Douglas Higgins	-1	-1
nm0086543	Ellen Blake	1943	-1
nm6245206	Vinay Sharma	-1	-1
nm0770961	Fred Schepisi	1939	-1
nm0943922	D.B. Wyndham-Lewis	1894	1969
nm0551969	Betty Martin	-1	-1
nm0284369	Ari Folman	1962	-1
nm4466085	Ben Robson	1984	-1
nm0049689	John Baldecchi	-1	-1
nm0184136	Sophie Coussein	1936	-1
nm2618951	Benjamin Hollingsworth	-1	-1
nm2400045	Nina Dobrev	1989	-1
nm3759570	Graham Robbins	-1	-1
nm1526335	Karl Willetts	-1	-1
nm0251907	Eiros	-1	-1
nm0927652	Roeland Wiesnekker	1967	-1
nm1848825	Jasmine Ballou Jones	-1	-1
nm7506707	Stefanía Koessl	-1	-1
nm5752523	Melanie Stone	-1	-1
nm2065370	Alexandra Raach	-1	-1
nm0799108	Armando Silvestre	1926	2024
nm4034632	S.S. Kanchi	-1	-1
nm0137142	Carmine Caridi	1934	2019
nm5369674	Jeff Robison	-1	-1
nm0201509	Eric Darnell	1961	-1
nm0845752	Patrick Süskind	1949	-1
nm6191392	Leo Sardarian	-1	-1
nm12606695	Vincent Muller	2004	-1
nm1161470	Ki-hyeon Kim	-1	-1
nm0394889	Michelle Horn	1987	-1
nm0134884	Yu Cao	1910	1996
nm2015758	David Ignatius	1950	-1
nm1978325	Taylor Kinney	1981	-1
nm0254591	Peter Elliott	-1	-1
nm0948679	Daniel York Loh	1966	-1
nm0382566	Doris Hick	1966	-1
nm0205423	Sammi Davis	1964	-1
nm0602766	Santos Morales	-1	2012
nm0257168	David Engelbach	1946	-1
nm8420743	Landon Gordon	2009	-1
nm1117791	Rob Corddry	1971	-1
nm1022001	Trent Opaloch	-1	-1
nm1036205	Marc Weiner	1952	-1
nm0480894	Stéphane Lafleur	-1	-1
nm0551502	K.C. Martel	1967	-1
nm0005412	Jane Seymour	1951	-1
nm7240586	Marie Hacke	1989	-1
nm8444432	Jayden Davison	-1	-1
nm1041285	Peter Raeburn	-1	-1
nm10203648	Sanket Deshpande	-1	-1
nm0242574	George Dunn	1914	1982
nm0409279	Hiroaki Inoue	-1	-1
nm0247524	Guy East	-1	-1
nm0089805	Andy Blumenthal	-1	-1
nm14129502	Esme McSherry	-1	-1
nm2690668	David Valencia	-1	-1
