tconst	primaryTitle	isAdult	averageRating	numVotes	startYear	runtimeMinutes
tt0111161	The Shawshank Redemption	0	9.3	3150021	1994	142
tt0468569	The Dark Knight	0	9.1	3125518	2008	152
tt1375666	Inception	0	8.8	2779556	2010	148
tt0137523	Fight Club	0	8.8	2565915	1999	139
tt0109830	Forrest Gump	0	8.8	2464726	1994	142
tt0816692	Interstellar	0	8.7	2469178	2014	169
tt0110912	Pulp Fiction	0	8.8	2407450	1994	154
tt0068646	The Godfather	0	9.2	2198185	1972	175
tt0120737	The Lord of the Rings: The Fellowship of the Ring	0	8.9	2179270	2001	178
tt0133093	The Matrix	0	8.7	2222591	1999	136
tt0167260	The Lord of the Rings: The Return of the King	0	9.0	2139533	2003	201
tt0114369	Se7en	0	8.6	1991720	1995	127
tt0167261	The Lord of the Rings: The Two Towers	0	8.8	1933328	2002	179
tt1345836	The Dark Knight Rises	0	8.4	1971876	2012	164
tt1853728	Django Unchained	0	8.5	1858184	2012	165
tt0172495	Gladiator	0	8.5	1825834	2000	155
tt0361748	Inglourious Basterds	0	8.4	1754707	2009	153
tt0102926	The Silence of the Lambs	0	8.6	1698750	1991	118
tt0993846	The Wolf of Wall Street	0	8.2	1757159	2013	180
tt0108052	Schindler's List	0	9.0	1570373	1993	195
tt0120815	Saving Private Ryan	0	8.6	1619886	1998	169
tt0372784	Batman Begins	0	8.2	1694645	2005	140
tt7286456	Joker	0	8.3	1669660	2019	122
tt0076759	Star Wars: Episode IV - A New Hope	0	8.6	1554337	1977	121
tt0482571	The Prestige	0	8.5	1568106	2006	130
tt0071562	The Godfather Part II	0	9.0	1477725	1974	202
tt1130884	Shutter Island	0	8.2	1617265	2010	138
tt0120689	The Green Mile	0	8.6	1541988	1999	189
tt0407887	The Departed	0	8.5	1537009	2006	151
tt0080684	Star Wars: Episode V - The Empire Strikes Back	0	8.7	1489127	1980	124
tt0848228	The Avengers	0	8.0	1543890	2012	143
tt0088763	Back to the Future	0	8.5	1433518	1985	116
tt0099685	Goodfellas	0	8.7	1374264	1990	145
tt4154796	Avengers: Endgame	0	8.4	1421495	2019	181
tt0209144	Memento	0	8.4	1420821	2000	113
tt0499549	Avatar	0	7.9	1481658	2009	162
tt0110413	Léon: The Professional	0	8.5	1339122	1994	110
tt4154756	Avengers: Infinity War	0	8.4	1348675	2018	149
tt0120382	The Truman Show	0	8.2	1347809	1998	103
tt0120338	Titanic	0	8.0	1377178	1997	194
tt0910970	WALL·E	0	8.4	1304461	2008	98
tt0103064	Terminator 2: Judgment Day	0	8.6	1271438	1991	137
tt2015381	Guardians of the Galaxy	0	8.0	1350223	2014	121
tt0120586	American History X	0	8.5	1262459	1998	119
tt0325980	Pirates of the Caribbean: The Curse of the Black Pearl	0	8.1	1307968	2003	143
tt0266697	Kill Bill: Vol. 1	0	8.2	1290600	2003	111
tt0110357	The Lion King	0	8.5	1244593	1994	88
tt0169547	American Beauty	0	8.3	1272036	1999	122
tt0114814	The Usual Suspects	0	8.5	1226608	1995	106
tt0081505	The Shining	0	8.4	1211188	1980	146
tt1049413	Up	0	8.3	1220880	2009	96
tt0434409	V for Vendetta	0	8.1	1237754	2005	132
tt0086190	Star Wars: Episode VI - Return of the Jedi	0	8.3	1197181	1983	131
tt1431045	Deadpool	0	8.0	1239689	2016	108
tt0119217	Good Will Hunting	0	8.3	1194232	1997	126
tt0073486	One Flew Over the Cuckoo's Nest	0	8.6	1148215	1975	133
tt0264464	Catch Me If You Can	0	8.1	1215214	2002	141
tt0266543	Finding Nemo	0	8.2	1194596	2003	100
tt0338013	Eternal Sunshine of the Spotless Mind	0	8.3	1169834	2004	108
tt1392190	Mad Max: Fury Road	0	8.1	1195930	2015	120
tt6751668	Parasite	0	8.5	1137774	2019	132
tt2582802	Whiplash	0	8.5	1132981	2014	106
tt0105236	Reservoir Dogs	0	8.3	1160077	1992	99
tt0114709	Toy Story	0	8.3	1159479	1995	81
tt0477348	No Country for Old Men	0	8.2	1170929	2007	122
tt0112573	Braveheart	0	8.3	1152486	1995	178
tt0371746	Iron Man	0	7.9	1209721	2008	126
tt0107290	Jurassic Park	0	8.2	1162503	1993	127
tt2267998	Gone Girl	0	8.1	1155438	2014	149
tt0167404	The Sixth Sense	0	8.2	1131863	1999	107
tt0082971	Raiders of the Lost Ark	0	8.4	1101934	1981	115
tt0078748	Alien	0	8.5	1052682	1979	117
tt0050083	12 Angry Men	0	9.0	970805	1957	96
tt1675434	The Intouchables	0	8.5	1014344	2011	112
tt0198781	Monsters, Inc.	0	8.1	1061843	2001	92
tt0268978	A Beautiful Mind	0	8.2	1045699	2001	135
tt0253474	The Pianist	0	8.5	1001136	2002	150
tt0095016	Die Hard	0	8.2	1021220	1988	132
tt1201607	Harry Potter and the Deathly Hallows: Part 2	0	8.1	1032807	2011	130
tt0086250	Scarface	0	8.3	1002394	1983	170
tt0075314	Taxi Driver	0	8.2	1013574	1976	114
tt0245429	Spirited Away	0	8.6	952732	2001	124
tt15398776	Oppenheimer	0	8.2	995032	2023	180
tt1160419	Dune: Part One	0	8.0	1019463	2021	155
tt10872600	Spider-Man: No Way Home	0	8.1	999174	2021	148
tt0088247	The Terminator	0	8.1	993225	1984	107
tt0180093	Requiem for a Dream	0	8.3	964406	2000	102
tt3659388	The Martian	0	8.0	995580	2015	144
tt0435761	Toy Story 3	0	8.3	959139	2010	103
tt0208092	Snatch	0	8.2	968579	2000	102
tt2488496	Star Wars: Episode VII - The Force Awakens	0	7.7	1018303	2015	138
tt0060196	The Good, the Bad and the Ugly	0	8.8	882838	1966	178
tt2278388	The Grand Budapest Hotel	0	8.1	955320	2014	99
tt1392170	The Hunger Games	0	7.2	1071328	2012	142
tt0066921	A Clockwork Orange	0	8.2	930077	1971	136
tt0382932	Ratatouille	0	8.1	927733	2007	111
tt1392214	Prisoners	0	8.2	916332	2013	153
tt1663202	The Revenant	0	8.0	938047	2015	156
tt0317248	City of God	0	8.6	862821	2002	130
tt3315342	Logan	0	8.1	915987	2017	137
tt1843866	Captain America: The Winter Soldier	0	7.7	962110	2014	136
tt0118715	The Big Lebowski	0	8.1	910120	1998	117
tt2096673	Inside Out	0	8.1	901103	2015	95
tt1010048	Slumdog Millionaire	0	8.0	906022	2008	120
tt0241527	Harry Potter and the Sorcerer's Stone	0	7.7	939642	2001	152
tt0246578	Donnie Darko	0	8.0	903508	2001	113
tt2395427	Avengers: Age of Ultron	0	7.3	988940	2015	141
tt7131622	Once Upon a Time... in Hollywood	0	7.6	947643	2019	161
tt0903624	The Hobbit: An Unexpected Journey	0	7.8	920479	2012	169
tt3498820	Captain America: Civil War	0	7.8	916517	2016	147
tt0892769	How to Train Your Dragon	0	8.1	881217	2010	98
tt1877830	The Batman	0	7.8	912535	2022	176
