nconst	tconst
nm1219736	tt3501632
nm1219736	tt0371746
nm1219736	tt0800080
nm1219736	tt1981115
nm17351830	tt32299316
nm0468957	tt0090555
nm0468957	tt0092493
nm0468957	tt0114852
nm0468957	tt0231402
nm10710511	tt9783600
nm10710511	tt5144174
nm0871393	tt0120201
nm0871393	tt0114436
nm0871393	tt0116922
nm0871393	tt0409459
nm0094067	tt0154420
nm2102049	tt9006564
nm2102049	tt10919240
nm0557733	tt0119738
nm0557733	tt0257106
nm0557733	tt0112760
nm0948133	tt0090350
nm1518261	tt23055660
nm1518261	tt8544498
nm1518261	tt0995868
nm0580884	tt10121392
nm0580884	tt2076822
nm0580884	tt1075747
nm0746022	tt0856288
nm0338004	tt0055614
nm0338004	tt0043278
nm0338004	tt0063385
nm0530365	tt0457430
nm0530365	tt0301199
nm1356311	tt0404032
nm1356311	tt0409459
nm1356311	tt0375210
nm0004799	tt0416449
nm0004799	tt1253864
nm0004799	tt1259528
nm0369592	tt0388795
nm0369592	tt0086879
nm0369592	tt0117318
nm0369592	tt0106918
nm1186883	tt18392014
nm0741814	tt0464141
nm17274331	tt29471573
nm0560103	tt0171685
nm0104935	tt0069747
nm0083688	tt0219965
nm0083688	tt0455967
nm0083688	tt0402850
nm8933067	tt7014006
nm0378219	tt3014866
nm0378219	tt4530422
nm0378219	tt1709143
nm0378219	tt1846589
nm3790547	tt2309260
nm0307257	tt0071402
nm0307257	tt1137450
nm0307257	tt0814335
nm2255484	tt5571734
nm1003061	tt0366292
nm7792072	tt6742252
nm6861701	tt7599146
nm6458031	tt32063098
nm8463983	tt24068064
nm0172560	tt0014341
nm7094697	tt0356618
nm0080289	tt2213054
nm0080289	tt3405236
nm0080289	tt1188996
nm0080289	tt0986264
nm0001081	tt0181875
nm0001081	tt0116695
nm0001081	tt0259711
nm0001081	tt0105415
nm0927468	tt0010323
nm0512231	tt0059742
nm0512231	tt0036613
nm0512231	tt0028333
nm12247747	tt12818328
nm0277139	tt0062759
nm0277139	tt0068519
nm0842487	tt1856080
nm0842487	tt3108894
nm0950935	tt0232500
nm0950935	tt0246460
nm0950935	tt2302755
nm0950935	tt1186367
nm0155212	tt0891592
nm0155212	tt0325655
nm0151519	tt0048473
nm0383379	tt3450958
nm0383379	tt0770828
nm0383379	tt0289879
nm0383379	tt0429493
nm0086543	tt0087597
nm0086543	tt0111756
nm0086543	tt0069897
nm6245206	tt15255288
nm6245206	tt6692354
nm0770961	tt0093886
nm0770961	tt0108149
nm0943922	tt0049470
nm0943922	tt0025452
nm0551969	tt0071517
nm0284369	tt1185616
nm0284369	tt1821641
nm4466085	tt3882082
nm0049689	tt0236493
nm0049689	tt5308322
nm0049689	tt8155288
nm0049689	tt2058673
nm0184136	tt0091288
nm2618951	tt5719748
nm2618951	tt1285309
nm2400045	tt1659337
nm2400045	tt1293847
nm2400045	tt2118624
nm2400045	tt1924435
nm3759570	tt31022050
nm3759570	tt14715170
nm3759570	tt21957774
nm1526335	tt3205376
nm1526335	tt1288558
nm1526335	tt10293406
nm0251907	tt0097443
nm1848825	tt1409024
nm1848825	tt1817273
nm1848825	tt0947798
nm1848825	tt1120985
nm7506707	tt4411504
