tconst	predicted_rating	prediction_uncertainty
tt33307144	8.4	0.22
tt36642456	8.4	0.21
tt26394837	8.2	0.26
tt23804696	7.3	0.76
tt30387012	7.4	0.76
tt27056066	7.8	0.38
tt31969600	8.4	0.21
tt34915705	8.0	0.22
tt32434379	7.8	0.49
tt28717622	7.9	0.23
tt31888477	8.2	0.56
tt18382850	7.8	0.25
tt3562110	7.6	0.29
tt32298285	7.6	0.29
tt26229612	7.9	0.37
tt27847051	7.2	0.7
tt33244668	7.6	0.52
tt32985279	8.2	0.53
tt31945132	7.7	0.59
tt13650700	7.3	0.96
tt32284154	6.9	0.8
tt30445556	6.2	0.89
tt30788842	7.3	0.67
tt30876483	7.2	0.43
tt32080876	7.1	0.85
tt30798612	7.6	0.29
tt33305312	7.4	0.99
tt31923069	7.3	0.68
tt32221196	6.5	0.96
tt36491653	7.1	0.52
tt30496762	7.2	0.47
tt32843349	7.9	0.56
tt33372494	7.0	0.87
tt27674982	7.4	0.81
tt31314296	6.6	1.01
tt20990442	7.4	0.56
tt21815562	7.1	0.64
tt37674426	7.9	0.53
tt13451410	7.1	1.06
tt27679608	7.7	0.37
tt29927663	7.6	0.3
tt35396529	7.7	0.76
tt32159989	7.3	0.58
tt30645201	7.1	0.9
tt14142060	8.0	0.24
tt14905854	7.2	0.49
tt34962891	7.9	0.25
tt27052633	7.5	0.67
tt31844586	7.3	0.76
tt32063098	7.1	0.52
tt34956443	7.2	0.87
tt31434030	6.7	0.68
tt24225606	7.6	0.58
tt23060698	6.2	0.59
tt27441481	7.3	0.75
tt18926098	8.0	0.35
tt30017619	7.5	0.67
tt31425731	7.6	1.07
tt26671996	7.7	0.44
tt30742355	7.1	1.29
tt15464188	7.9	0.32
tt31433402	6.1	0.6
tt31806049	7.4	0.72
tt18392014	7.9	0.49
tt23476986	7.5	0.86
tt32058735	7.2	0.86
tt35146696	7.5	0.47
tt35521922	6.1	0.54
tt32730754	7.8	0.24
tt4978342	7.5	0.33
tt28142095	7.1	1.03
tt22740896	7.3	1.0
tt5306972	7.4	0.82
tt32141377	6.6	0.54
tt14209618	7.5	0.63
tt21818782	7.8	0.46
tt28812582	7.8	0.58
tt34682248	7.6	0.51
tt21227864	7.3	0.79
tt27852049	7.9	0.51
tt32550101	7.7	0.27
tt20214908	7.4	0.82
tt32299316	6.9	0.39
tt31194612	7.2	0.63
tt30274401	6.2	0.61
tt27543578	7.2	0.89
tt9362736	7.8	0.32
tt1527793	7.1	0.69
tt18939362	6.9	0.41
tt32063050	7.4	0.42
tt29471573	7.6	0.59
tt27425164	6.7	0.71
tt30446847	7.5	0.77
tt24950660	7.2	0.84
tt32558992	6.8	0.88
tt28459771	8.4	0.19
tt14403504	7.6	0.34
tt28089700	7.3	0.59
tt29344903	7.8	0.76
tt31956415	6.8	1.12
