tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,directors,writers,averageRating,numVotes
tt0000001,short,Carmencita,Carmencita,0,1894,\N,1,"Documentary,Short",nm0005690,\N,5.7,2188
tt0000002,short,Le clown et ses chiens,Le clown et ses chiens,0,1892,\N,5,"Animation,Short",nm0721526,\N,5.5,308
tt0000003,short,Poor Pierrot,Pauvre Pierrot,0,1892,\N,5,"Animation,Comedy,Romance",nm0721526,nm0721526,6.5,2289
tt0000004,short,Un bon bock,Un bon bock,0,1892,\N,12,"Animation,Short",nm0721526,\N,5.1,196
tt0000005,short,Blacksmith Scene,Blacksmith Scene,0,1893,\N,1,Short,nm0005690,\N,6.2,3022
tt0000006,short,Chinese Opium Den,Chinese Opium Den,0,1894,\N,1,Short,nm0005690,\N,5.1,221
tt0000007,short,Corbett and Courtney Before the Kinetograph,Corbett and Courtney Before the Kinetograph,0,1894,\N,1,"Short,Sport","nm0005690,nm0374658",\N,5.3,933
tt0000008,short,Edison Kinetoscopic Record of a Sneeze,Edison Kinetoscopic Record of a Sneeze,0,1894,\N,1,"Documentary,Short",nm0005690,\N,5.4,2363
tt0000009,movie,Miss Jerry,Miss Jerry,0,1894,\N,45,Romance,nm0085156,nm0085156,5.2,232
tt0000010,short,Leaving the Factory,La sortie de l'usine Lumière à Lyon,0,1895,\N,1,"Documentary,Short",nm0525910,\N,6.8,8214
tt0000011,short,Akrobatisches Potpourri,Akrobatisches Potpourri,0,1895,\N,1,"Documentary,Short",nm0804434,\N,5.2,440
tt0000012,short,The Arrival of a Train,L'arrivée d'un train à La Ciotat,0,1896,\N,1,"Documentary,Short","nm0525908,nm0525910",\N,7.4,13872
tt0000013,short,The Photographical Congress Arrives in Lyon,Le débarquement du congrès de photographie à Lyon,0,1895,\N,1,"Documentary,Short",nm0525910,\N,5.7,2116
tt0000014,short,The Waterer Watered,L'arroseur arrosé,0,1895,\N,1,"Comedy,Short",nm0525910,\N,7.1,6343
tt0000015,short,Around a Cabin,Autour d'une cabine,0,1894,\N,2,"Animation,Comedy,Short",nm0721526,nm0721526,6.1,1311
tt0000016,short,Boat Leaving the Port,Barque sortant du port,0,1895,\N,1,"Documentary,Short",nm0525910,\N,5.9,1701
tt0000017,short,Italienischer Bauerntanz,Italienischer Bauerntanz,0,1895,\N,1,"Documentary,Short","nm1587194,nm0804434",\N,4.6,399
tt0000018,short,Das boxende Känguruh,Das boxende Känguruh,0,1895,\N,1,"Short,Sport",nm0804434,\N,5.2,692
tt0000019,short,The Clown Barber,The Clown Barber,0,1898,\N,\N,"Comedy,Short",nm0932055,\N,4.6,39
tt0000020,short,The Derby 1895,The Derby 1895,0,1895,\N,1,"Documentary,Short,Sport",nm0010291,\N,4.7,424
tt0000022,short,Blacksmith Scene,Les forgerons,0,1895,\N,1,"Documentary,Short",nm0525910,\N,5.1,1239
tt0000023,short,The Sea,Baignade en mer,0,1895,\N,1,"Documentary,Short",nm0525910,\N,5.7,1633
