tag_id,tag_name
1,funny
2,Highly quotable
3,will ferrell
4,Boxing story
5,MMA
6,Tom Hardy
7,drugs
8,Leonardo DiCaprio
9,Martin Scorsese
10,way too long
11,Al Pacino
12,gangster
13,mafia
14,Mafia
15,holocaust
16,true story
17,twist ending
18,Anthony Hopkins
19,courtroom drama
20,romantic comedy
21,wedding
22,painter
23,bloody
24,black hole
25,sci-fi
26,time-travel
27,fantasy
28,magic board game
29,Robin Williams
30,beautiful scenery
31,epic
32,historical
33,inspirational
34,Medieval
35,mel gibson
36,Oscar (Best Cinematography)
37,revenge
38,sword fight
39,black comedy
40,Christina Ricci
41,Christopher Lloyd
42,dark comedy
43,family
44,gothic
45,Andy Garcia
46,Classic
47,Francis Ford Coppola
48,Family
49,quirky
50,Macaulay Culkin
51,sequel
52,animation
53,Disney
54,original
55,Pixar
56,Tom Hanks
57,ancient Rome
58,Epic
59,history
60,imdb top 250
61,Rome
62,Russell Crowe
63,Ed Harris
64,Jude Law
65,Rachel Weisz
66,sniper
67,World War II
68,atmospheric
69,Hilary Swank
70,violent
71,dogs
72,Eric Bana
73,mad scientist
74,marvel
75,captain nemo
76,comic book
77,Peta Wilson
78,Sean Connery
79,superhero
80,adventure
81,Angelina Jolie
82,heroine in tight suit
83,Adventure
84,ensemble cast
85,fantasy world
86,great soundtrack
87,lord of the rings
88,scenic
89,stylized
90,Tolkien
91,hilarious
92,Steve Carell
93,Will Ferrell
94,Jim Carrey
95,meryl streep
96,Adam Sandler
97,sweet
98,British gangster
99,confusing
100,daniel craig
101,Exquisite plotting.
102,organized crime
103,stylish
104,anime
105,Hayao Miyazaki
106,Studio Ghibli
107,David Thewlis
108,Eva Green
109,Liam Neeson
110,Orlando Bloom
111,Chris Evans
112,Jessica Alba
113,sexy female scientist
114,helena bonham carter
115,Johnny Depp
116,Tim Burton
117,visually appealing
118,clever
119,fast-paced dialogue
120,good dialogue
121,Robert Downey Jr.
122,witty
123,Audrey Tautou
124,conspiracy theory
125,Mystery
126,Paris
127,treasure hunt
128,Brad Pitt
129,cate blanchett
130,multiple storylines
131,social commentary
132,Ben Stiller
133,emma thompson
134,Maggie Gyllenhaal
135,modern fantasy
136,romance
137,surreal
138,Marion Cotillard
139,Africa
140,corruption
141,Jennifer Connelly
142,justice
143,bad acting
144,bad jokes
145,bad plot
146,Marvel
147,Ryan Reynolds
148,lion
149,narnia
150,Tilda Swinton
151,bad script
152,Charlize Theron
153,Will Smith
154,Anne Hathaway
155,comedy
156,James Franco
157,Seth Rogen
158,Stoner Movie
159,audience intelligence underestimated
160,boring
161,chick flick
162,overrated
163,Teen movie
164,Adrien Brody
165,con artists
166,interesting characters
167,Mark Ruffalo
168,Bill Murray
169,Emma Stone
170,Jesse Eisenberg
171,Woody Harrelson
172,CGI
173,cheesy
174,DC
175,DC Comics
176,space
177,happy ending
178,HOT actress
179,Justin Timberlake
180,Mila Kunis
181,New York City
182,sex
183,Istanbul
184,predictable
185,Turkey
186,unnecessary sequel
187,action
188,Christoph Waltz
189,good soundtrack
190,Great performances
191,Humour
192,Quentin Tarantino
193,Samuel L. Jackson
194,Soundtrack
195,western
196,Amy Adams
197,daniel radcliffe
198,zoe kazan
199,stupid but funny
200,anti-intellectual
201,bad writing
202,dystopia
203,new society
204,plot holes
205,scifi
206,unintelligent
207,Seth MacFarlane
208,post-apocalyptic
209,survival
210,thriller
211,unexplained
212,weak plot
213,dark hero
214,gun-fu
215,Keanu Reeves
216,Revenge
217,secret society
218,dark humor
219,ironic
220,multiple short stories
221,short stories
222,bromance
223,Dr. Strange
224,Great villain
225,Guardians of the Galaxy
226,MCU
227,Thanos
228,Thor
229,Visually stunning
230,characters
231,Dialogue
232,humor
233,Kurt Russell
234,tension building
235,Western
236,Jennifer Lawrence
237,love story
238,nonsense
239,politics
240,rebellion
241,revolution
242,Ben Kingsley
243,ethics
244,immortality
245,ryan reynolds
246,Bad story
247,Bad writing
248,Batman
249,Ben Affleck
250,dc comics
251,Harley Quinn
252,Harley Quinn's ass
253,Horrible directing
254,Jared Leto
255,Joker
256,lack of plot
257,Margot Robbie
258,Poor story
259,poorly paced
260,batman
261,ben affleck
262,dark
263,Gal Gadot
264,superman
265,wonderwoman
266,leonardo DiCarpio
267,tom hardy
268,building a family
269,creative
270,freedom
271,good writing
272,individualism
273,Viggo Mortensen
274,gun tactics
275,hitman
276,Action
277,Comedy
278,Dwayne Johnson
279,Rachel McAdams
280,Alicia Vikander
281,video game adaptation
282,Josh Brolin
283,sarcasm
284,Emilia Clarke
285,star wars
286,classic
287,space action
288,EPIC
289,non-linear
290,Everything you want is here
291,classic sci-fi
292,engrossing adventure
293,Nerd
294,stone age
295,killer
296,widows/widowers
297,kids
298,robots
299,murder
300,police
301,Kevin Costner
302,Post apocalyptic
303,irreverent
304,jay and silent bob
305,Kevin Smith
306,satire
307,based on a book
308,brutal
309,controversial
310,goretastic
311,violence
312,alternate reality
313,science fiction
314,time travel
315,Disturbing
316,great ending
317,mindfuck
318,surprise ending
319,suspense
320,cruel characters
321,brutality
322,threesome
323,Sexual Humor
324,embarassing scenes
325,offensive
326,R language
327,80's
328,Crude humor
329,Vulgar
330,sofia coppola
331,John Cusack
332,Ewan McGregor
333,Renee Zellweger
334,jackie chan
335,kung fu
336,Something for everyone in this one... saw it without and plan on seeing it with kids!
337,assassin
338,Jean Reno
339,assassin-in-training (scene)
340,espionage
341,Robert Ludlum
342,test tag
343,feel-good
344,fun family movie
345,very funny
346,black and white
347,Christopher Nolan
348,directorial debut
349,not linear
350,Twist Ending
351,hugh jackman
352,Mindfuck
353,nonlinear
354,psychology
355,alan rickman
356,harry potter
357,humorous
358,Magic
359,insomnia
360,thought-provoking
361,amazing artwork
362,end of the world
363,mecha
364,space epic
365,cult film
366,dreamlike
367,hallucinatory
368,psychological
369,sentimental
370,memory
371,cinematography
372,India
373,oldie but goodie
374,Star Wars
375,ummarti2006
376,high school
377,moldy
378,old
379,moving
380,a clever chef rat
381,hope
382,mathematics
383,zombies
384,DEPRESSING
385,stupid
386,Favelas
387,narrated
388,childish naivity
389,friendship
390,Bechdel Test:Fail
391,cartoon
392,children
393,computer animation
394,divorce
395,dreams
396,american idolatry
397,Coen Brothers
398,Jeff Bridges
399,Matt Damon
400,Creature Feature
401,Disney animated feature
402,Oscar (Best Music - Original Score)
403,music
404,awesome
405,british comedy
406,pixar
407,knights
408,highschool
409,cult
410,boksdrama
411,stiller
412,wapendrama
413,sisters
414,ROBOTS AND ANDROIDS
415,post-college
416,restaurant
417,transvestite
418,Paul Rudd
419,quotable
420,seen more than once
421,Amazing Cinematography
422,shakespeare
423,updated classics
424,Atmospheric
425,Bruce Willis
426,ghosts
427,android(s)/cyborg(s)
428,artificial intelligence
429,Bittersweet
430,Steven Spielberg
431,Bette Davis
432,Oscar (Best Actress)
433,High School
434,lesbian subtext
435,undercover cop
436,Christian Bale
437,Casey Affleck
438,great performances
439,twist
440,ending
441,Morgan Freeman
442,political commentary
443,Afghanistan
444,American propaganda
445,assassination
446,military
447,terrorism
448,mystery
449,tricky
450,addiction
451,heroin
452,Mark Wahlberg
453,Nudity (Full Frontal)
454,cynical
455,independent film
456,space adventure
457,psychedelic
458,Tarantino
459,soundtrack
460,apocalypse
461,Arnold Schwarzenegger
462,nuclear war
463,Suspense
464,based on a true story
465,KIDNAPPING
466,Steve Buscemi
467,edward norton
468,freedom of expression
469,Monty Python
470,emotional
471,jack nicholson
472,archaeology
473,indiana jones
474,aliens
475,horror
476,space craft
477,SPACE TRAVEL
478,Alfred Hitchcock
479,suspenseful
480,tense
481,Sci-Fi
482,special effects
483,disturbing
484,Horror
485,masterpiece
486,Stanley Kubrick
487,Juliette Lewis
488,Robert De Niro
489,plot twist
490,mental illness
491,paranoid
492,crude humor
